Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
91e1b733		Here we have the menu screen to display all the locked and unlocked achievements.	game/core/achievement screen.rpy	1	"[what]"
start_ffd466c9		01. Mai 1983.	game/Story/ch0.rpy	52	"[what]"
start_5ea15852		An die Abteilungen 1 bis 12,	game/Story/ch0.rpy	53	"[what]"
start_463c62d4		XX Hauptquartier der Präfekturpolizei.	game/Story/ch0.rpy	54	"[what]"
start_8a97932c		Generaldirektor XXX	game/Story/ch0.rpy	56	"[what]"
start_fbc95b1f		An den Polizeipräsidenten und alle Abteilungsleiter.	game/Story/ch0.rpy	57	"[what]"
start_57892cac		Über den Fall im Dorf Hinamizawa.	game/Story/ch0.rpy	59	"[what]"
start_0a311b49		Über den Fall im Dorf Hinamizawa wurde in einigen Massenmedien berichtet.	game/Story/ch0.rpy	68	"[what]"
start_14347e6c		Er hat weltweit Aufmerksamkeit erregt,	game/Story/ch0.rpy	69	"[what]"
start_a6e7cdae	extend	 was schwerwiegende Auswirkungen auf die Bewohner hatte. Die Lage ist sehr ernst geworden.	game/Story/ch0.rpy	70	extend "[what]"
start_c4afe366		Um das Leben und das Wohlergehen der Anwohner zu schützen, wurde die folgende Bekanntmachung veröffentlicht.	game/Story/ch0.rpy	71	"[what]"
start_26da3d91	ntxt	1. die folgenden strafrechtlichen Ermittlungen als Verschlusssache zu behandeln	game/Story/ch0.rpy	75	ntxt "[what]"
start_faf9f3a5	ntxt	Station Okinomiya 1983 Fallnummer 862	game/Story/ch0.rpy	76	ntxt "[what]"
start_042dbe5e	ntxt	Tötung einer alleinerziehenden Mutter mit zwei Kindern im Dorf Hinamizawa (Datum: April 1983).	game/Story/ch0.rpy	77	ntxt "[what]"
start_3a06f009	extend	 Dieser Fall steht in keinem Zusammenhang mit den jährlichen Morden vom Juni 1979 bis 1982.	game/Story/ch0.rpy	78	extend "[what]"
start_3ad9b2a9	ntxt	Die Leiche einer alleinerziehenden Mutter wurde an einem Morgen im April 1983 in ihrem Haus, genauer gesagt in ihrer Küche, tot aufgefunden.	game/Story/ch0.rpy	80	ntxt "[what]"
start_2bb38455	extend	 Wir konnten nur eines der beiden Kinder bergen, das andere wird noch vermisst.	game/Story/ch0.rpy	81	extend "[what]"
start_ac291449	ntxt	Wahrscheinlich handelt es sich um eine Kindesentführung. Die Polizei tut bereits alles um das entführte Kind zu finden.	game/Story/ch0.rpy	82	ntxt "[what]"
start_df946b7a	extend	 Das geborgene Kind steht noch unter schwerem Schock und kann noch nicht sprechen,	game/Story/ch0.rpy	83	extend "[what]"
start_9735bbd1	extend	 es wurde in das örtliche Krankenhaus gebracht und wird dort medizinisch versorgt.	game/Story/ch0.rpy	84	extend "[what]"
start_de3c2cae	ntxt	Ende der öffentlichen Mitteilung.	game/Story/ch0.rpy	86	ntxt "[what]"
start_a4652e00		Das Kind wurde im selben Raum wie die Leiche gefunden.	game/Story/ch0.rpy	90	"[what]"
start_e11f5bf2	extend	 Es gab keine Blutspuren oder ähnliches an dem Kind.	game/Story/ch0.rpy	91	extend "[what]"
